building_id,name,postal_code,address,latitude,longitude,map_embed,height,floors_above,floors_below,architect,constructor,construction_start,completion,image_urls,streetview_embed
,JAビル,100-0004,東京都千代田区大手町一丁目3-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2002.4776583545852!2d139.76090904596333!3d35.68853035520883!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c061d2b2677%3A0xbaf2735fc7eb8025!2z44CSMTAwLTAwMDQg5p2x5Lqs6YO95Y2D5Luj55Sw5Yy65aSn5omL55S677yR5LiB55uu77yT4oiS77yRIEpB44OT44Or!5e0!3m2!1sja!2sjp!4v1717254383855!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",180,37,3,三菱地所設計、全国農協設計、NTTファシリティーズ,鹿島建設,200704,200904,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1717254429365!6m8!1m7!1sGC29KU65q2u5zDHSq4LgXw!2m2!1d35.68951643352025!2d139.7635952517178!3f221.59791418031054!4f34.0450850846228!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,グラントウキョウ サウスタワー,100-0005,東京都千代田区丸の内一丁目9-2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2475.148631414827!2d139.7666705755038!3d35.6789392783125!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bfc9d88edc5%3A0xf8d9490ce543b963!2z44Kw44Op44Oz44OI44Km44Kt44On44KmIOOCteOCpuOCueOCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1720958108048!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",205,42,4,"日建設計（基本設計）、ジェイアール東日本建築設計事務所（基本・実施設計）、マーフィ/ヤーン, Inc.（デザインアーキテクト）",鹿島建設、鉄建建設、清水建設、大成建設,200409,200711,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720958177953!6m8!1m7!1smv0YB0UuAgu1ta8XL3H1EQ!2m2!1d35.67881181363657!2d139.7681832268128!3f257.33864464317304!4f41.9530942461534!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,グラントウキョウ ノースタワー,100-0005,東京都千代田区丸の内一丁目9-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2547.5952946231787!2d139.76779738037297!3d35.68146552755129!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bfc407855f7%3A0xb5807bea5ece6801!2z44Kw44Op44Oz44OI44Km44Kt44On44KmIOODjuODvOOCueOCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1720958209669!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",205,43,4,"日建設計（基本設計）、ジェイアール東日本建築設計事務所（基本・実施設計）、マーフィ/ヤーン, Inc.（デザインアーキテクト）",鹿島建設、清水建設、大林組、竹中工務店、大成建設、鉄建建設、三井住友建設,200409,200710,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720958229447!6m8!1m7!1shdLbPvhv_LlRuMmW2sBM9w!2m2!1d35.68189698642648!2d139.7701165487082!3f258.0575290269155!4f36.80651757373323!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,ゲートシティ大崎 イーストタワー,141-0032,東京都品川区大崎一丁目11-2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2549.6006260819204!2d139.73014957732016!3d35.61861108562224!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188af56187a075%3A0x26a4327afb9df65e!2z44Ky44O844OI44K344OG44Kj5aSn5bSOIOOCpOODvOOCueODiOOCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1720958380859!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",108.8,24,4,日建設計,鹿島建設、三井建設、戸田建設、前田建設工業、住友建設,199409,199901,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720958463137!6m8!1m7!1sbUrPmBsH70hj4hzSJ-Fpcw!2m2!1d35.61800014114944!2d139.7322197591148!3f340.7117181800993!4f36.659031867061955!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,ゲートシティ大崎 ウエストタワー,141-0032,東京都品川区大崎一丁目11-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2549.5784234118455!2d139.72877458222516!3d35.619307525484075!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188af598ea4d99%3A0x357835500000d097!2z44Ky44O844OI44K344OG44Kj5aSn5bSOIOOCpuOCqOOCueODiOOCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1720958482696!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",98,24,4,日建設計,大成建設、熊谷組、清水建設、竹中工務店、東急建設、安藤建設,199409,199901,,"<iframe src=""https://www.google.com/maps/embed?pb=!3m2!1sja!2sjp!4v1720958508575!5m2!1sja!2sjp!6m8!1m7!1sca4iawJ-cD-z-6ukv8DhiA!2m2!1d35.62017594639249!2d139.7304403748652!3f156.68182013237714!4f26.649932110598257!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,シーバンスS館,105-0023,東京都港区芝浦一丁目2-3,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4006.9096424006093!2d139.7542887630123!3d35.6495863954641!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bcbc2c69727%3A0xcf69837cfb2cf745!2z44K344O844OQ44Oz44K577yz6aSo!5e0!3m2!1sja!2sjp!4v1720959024069!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",106,24,2,清水建設、NTT都市開発,清水建設,,199101,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720959077283!6m8!1m7!1sGoGAQGn3bmasbZUFGxaR0A!2m2!1d35.64974421717346!2d139.7557436428875!3f143.93582841473307!4f34.377999300217525!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,住友不動産六本木グランドタワー,106-0032,東京都港区六本木三丁目2-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3241.5041325207626!2d139.73520267621677!3d35.664586872592665!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b9b42de91d7%3A0xb8894e4911ec8825!2z5L2P5Y-L5LiN5YuV55Sj5YWt5pys5pyo44Kw44Op44Oz44OJ44K_44Ov44O8!5e0!3m2!1sja!2sjp!4v1721366178510!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",230.76,43,2,日建設計,大成建設、大林組,201310,201610,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721366230392!6m8!1m7!1smopiCoeA_8Sz_I9ZjaeFSw!2m2!1d35.6651553339474!2d139.7366685703854!3f119.42611942872723!4f37.58154648039337!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,ソニーシティ,108-0075,東京都港区港南一丁目7-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4007.840151456763!2d139.74240557302474!3d35.63103111443488!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188a4f8a556fdf%3A0x302048fee4e93eb6!2z44K944OL44O844K344OG44Kj!5e0!3m2!1sja!2sjp!4v1720959568380!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",99.4,20,2,プランテック総合計画事務所,清水建設,200407,200610,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720959617157!6m8!1m7!1sMXoXDiQsmef6eRMKEYsxAQ!2m2!1d35.63179967283846!2d139.7431016917105!3f149.89978013684888!4f31.699313575213026!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,ノースゲートビルディング,530-0001,大阪府大阪市北区梅田三丁目1-3,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d5156.920146395784!2d135.49358807538644!3d34.70310974531442!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6000e68dc38d6861%3A0x333a772fc25210a!2z44OO44O844K544Ky44O844OI44OT44Or44OH44Kj44Oz44Kw!5e0!3m2!1sja!2sjp!4v1721131962547!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",144,29,3,日建設計,大林組、大鉄工業、竹中工務店、錢高組、淺沼組体,200609,201103,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721131986166!6m8!1m7!1seQJIzfV2vywAi_QVuRCu8w!2m2!1d34.70224415835353!2d135.4934472463067!3f67.97298410453229!4f29.212175522475917!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,パレスサイドビルディング,100-0003,東京都千代田区一ツ橋一丁目1-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.4340181050347!2d139.75662503487095!3d35.690935796226725!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c0dfb9cdb71%3A0xef321409da93023!2z44OR44Os44K544K144Kk44OJ44OT44Or5q2v56eR!5e0!3m2!1sja!2sjp!4v1721035976046!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",50.2,9,6,日建設計,竹中工務店、大林組,196407,196609,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721036040847!6m8!1m7!1s8wcIm6g-rRLmTZV7BhmyWw!2m2!1d35.69061189644715!2d139.7567515031092!3f57.552567740927614!4f16.30222442174147!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,パレスビル,100-0005,東京都千代田区丸の内一丁目1-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4005.1256294397654!2d139.75972780555213!3d35.685137989929224!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c0814759505%3A0xf78080f42d94811a!2z44OR44Os44K544OT44Or!5e0!3m2!1sja!2sjp!4v1721036065542!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",115,23,4,三菱地所設計,大林組,200908,201201,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721036256354!6m8!1m7!1s_1qXJ4PsDDYuiF7fj9Q-jw!2m2!1d35.68584247672608!2d139.7611043550419!3f151.18663856453117!4f29.706333451809513!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,プルデンシャルタワー,100-0014,東京都千代田区永田町二丁目13-10,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3241.038574099717!2d139.73587617669702!3d35.67605217258896!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c7894dc97d3%3A0xccc5dbd78ac12bc5!2z44CSMTAwLTAwMTQg5p2x5Lqs6YO95Y2D5Luj55Sw5Yy65rC455Sw55S677yS5LiB55uu77yR77yT4oiS77yR77yQIOODl-ODq-ODh-ODs-OCt-ODo-ODq-OCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1721036294373!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",158,38,3,大成建設,大成建設,199906,200211,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721036324530!6m8!1m7!1sviyae5EHfhU_lyl05a3vnQ!2m2!1d35.67542917586081!2d139.7381253092117!3f32.569004021218845!4f35.25250563213291!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,みずほ丸の内タワー,100-0005,東京都千代田区丸の内一丁目3-3,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.7202306435984!2d139.76089017669736!3d35.68389017258639!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b9702854a2d%3A0xe2621bd1e81fa702!2z44G_44Ga44G75Li444Gu5YaF44K_44Ov44O8!5e0!3m2!1sja!2sjp!4v1721132127550!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",149.7,29,4,三菱地所設計、日本設計、久米設計,大林組、大成建設、清水建設,201701,202009,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721132219400!6m8!1m7!1sUTU7zlTK1JON5chso6wuFg!2m2!1d35.68319940096954!2d139.7641979867349!3f329.41448523968876!4f38.06390970133239!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
